,     Extent,time,xco2,xch4
495,18.912,2004-09-11,374.6908,1753.2134
496,18.897,2004-09-12,374.5161,1760.871
497,18.848,2004-09-13,373.93712999999997,1752.4691
498,18.926,2004-09-14,374.05163999999996,1759.4772
499,18.886,2004-09-15,374.34824,1759.7999
500,18.877,2004-09-16,373.4969,1757.8148
501,18.912,2004-09-17,373.95538,1759.8225
502,18.913,2004-09-18,374.05147999999997,1762.8329
503,18.924,2004-09-19,372.4473,1762.1239
504,18.956,2004-09-20,373.79205,1758.0342
505,18.939,2004-09-21,375.33083999999997,1726.1084
506,18.9,2004-09-22,373.4382,1758.9987
507,18.823,2004-09-25,373.1274,1758.4154
508,18.799,2004-09-26,374.64935,1755.5238
509,18.801,2004-09-27,374.43698,1761.0203
510,18.852,2004-09-28,374.03104,1757.2185
511,18.908,2004-09-29,374.52402,1759.3213
512,18.891,2004-09-30,375.4181,1755.9879999999998
513,18.83,2004-10-03,375.65213,1750.8291
514,18.789,2004-10-04,374.95892000000003,1758.5653
515,18.929,2004-10-05,375.38242,1754.2817
516,18.808,2004-10-06,374.71884,1754.1718
517,18.713,2004-10-07,374.93102999999996,1752.8817
518,18.707,2004-10-08,374.28927999999996,1756.269
519,18.632,2004-10-09,374.76662999999996,1754.0485
520,18.57,2004-10-10,374.6937,1753.2129
521,18.565,2004-10-11,374.4399,1760.0016
522,18.596,2004-10-12,374.661,1756.9149
523,18.618,2004-10-13,374.92865,1753.9211
524,18.614,2004-10-14,374.85904,1755.3706
525,18.546,2004-10-15,374.4034,1753.56
526,18.556,2004-10-16,374.99699999999996,1761.9883
527,18.54,2004-10-17,374.49957,1758.1229
528,18.542,2004-10-18,374.11975,1759.2474
529,18.488,2004-10-19,374.97283999999996,1755.4652
530,18.357,2004-10-20,375.39664,1752.5596
531,18.299,2004-10-21,374.84103,1750.6559
532,18.239,2004-10-22,375.82653999999997,1749.4401
533,18.181,2004-10-23,375.52582,1755.5461
534,18.118,2004-10-24,376.03772000000004,1756.3312
535,18.146,2004-10-25,374.4905,1755.3307
536,18.136,2004-10-26,375.21912000000003,1752.0985
537,18.1,2004-10-27,375.59674,1753.7765
538,18.044,2004-10-28,375.5726,1748.2513
539,17.947,2004-10-29,376.2873,1753.5449
540,17.874,2004-10-30,374.74625,1752.1265
541,17.854,2004-10-31,375.37296000000003,1755.5941
542,17.676,2004-11-01,376.13208,1752.9148
543,17.543,2004-11-02,376.02438,1750.8252
544,17.358,2004-11-03,375.5597,1751.5854
545,17.258,2004-11-04,375.22855,1756.281
546,17.22,2004-11-05,375.69467000000003,1747.1754
547,17.167,2004-11-06,375.4943,1748.5399
548,17.132,2004-11-07,375.53616,1747.0184
549,17.026,2004-11-08,376.35042999999996,1752.2216
550,17.001,2004-11-09,375.83383,1746.8549
551,16.927,2004-11-10,377.0048,1750.0444
552,16.95,2004-11-11,376.00955,1748.7712
553,16.815,2004-11-12,376.01865,1751.4326
554,16.656,2004-11-13,375.98073999999997,1757.4897
555,16.554,2004-11-14,375.1651,1750.5863
556,16.406,2004-11-15,376.34283,1742.9812
557,16.221,2004-11-16,375.59482,1741.8419
558,15.792,2004-11-19,375.22902999999997,1743.1503
559,15.669,2004-11-20,375.7207,1738.2220000000002
560,15.465,2004-11-21,375.66855,1746.1897
561,15.252,2004-11-22,375.86588,1743.7269
562,15.079,2004-11-23,376.3295,1741.3256
563,14.964,2004-11-24,375.65936,1738.4337
564,14.791,2004-11-25,376.63538,1752.8618
565,14.754,2004-11-26,375.39032000000003,1739.4882
